Customer ID,Monetary,Frequency,LastInvoiceDate,Recency,Cluster,Cluster_Label,Monetary per 100 pounds
12383,1628.56,5,6/8/2011 8:02,184,2,New,16.2856
12384,425.27,2,11/11/2011 8:39,28,2,New,4.2527
12385,1668.4,1,11/25/2010 15:14,378,1,At Risk,16.684
12386,660.8,2,1/6/2011 12:37,337,1,At Risk,6.608
12387,143.94,1,10/20/2010 16:27,414,1,At Risk,1.4394
12388,3901.11,8,11/24/2011 12:30,15,0,Mid-Tire,39.0111
12389,1433.33,3,11/2/2010 11:52,402,1,At Risk,14.3333
12390,504.84,1,9/21/2011 9:33,79,2,New,5.0484
12391,2773.42,6,11/18/2011 12:07,21,2,New,27.7342
12392,234.75,1,4/27/2010 14:04,590,1,At Risk,2.3475
12393,2399.45,6,9/28/2011 15:41,71,2,New,23.9945
12394,1080.48,2,10/7/2011 8:08,63,2,New,10.8048
12395,4551.27,15,11/20/2011 15:21,18,0,Mid-Tire,45.5127
12396,931.43,1,2/3/2010 13:22,673,1,At Risk,9.3143
12397,2214.9,2,11/4/2011 9:52,35,2,New,22.149
12398,1435.66,1,10/25/2011 10:27,45,2,New,14.3566
12399,1842.3,7,8/12/2011 13:15,118,2,New,18.423
12400,205.25,1,10/21/2010 13:45,413,1,At Risk,2.0525
12401,69.3,1,2/9/2011 13:50,302,1,At Risk,0.693
12402,1136.9,6,1/20/2011 13:49,322,1,At Risk,11.369
12403,947.36,2,10/21/2011 10:51,49,2,New,9.4736
12405,1390.39,1,7/14/2011 8:52,148,2,New,13.9039
12406,6390.36,5,11/17/2011 19:22,21,0,Mid-Tire,63.9036
12407,1507.12,5,10/21/2011 10:11,49,2,New,15.0712
12408,3905.77,8,11/7/2011 12:27,32,0,Mid-Tire,39.0577
12409,23419.29,7,9/22/2011 10:38,78,0,Mid-Tire,234.1929
12410,773.71,3,2/4/2011 10:39,308,1,At Risk,7.7371
12411,346.9,1,10/26/2010 9:25,409,1,At Risk,3.469
12412,2404.93,6,9/26/2011 10:16,74,2,New,24.0493
12413,871.45,4,10/4/2011 9:00,66,2,New,8.7145
12414,532.41,4,5/6/2011 14:51,216,2,New,5.3241
12416,202.56,1,2/21/2010 10:19,656,1,At Risk,2.0256
12418,2021.2,4,8/19/2011 11:08,112,2,New,20.212
12419,391.01,2,11/19/2010 10:04,385,1,At Risk,3.9101
12420,600.39,1,10/7/2011 8:55,63,2,New,6.0039
12421,874.6,6,11/24/2011 9:07,15,2,New,8.746
12422,3639.35,12,9/5/2011 9:48,95,0,Mid-Tire,36.3935
12423,2301.39,10,12/9/2011 10:10,0,0,Mid-Tire,23.0139
12424,3340.03,4,6/30/2011 12:06,162,2,New,33.4003
12425,1741.41,2,9/22/2011 17:31,77,2,New,17.4141
12426,1201.21,2,5/29/2011 12:26,194,2,New,12.0121
12427,949.3,3,11/18/2011 8:56,21,2,New,9.493
12428,6405.26,8,11/14/2011 8:22,25,0,Mid-Tire,64.0526
12429,6979.91,8,11/30/2011 17:22,8,0,Mid-Tire,69.7991
12430,216.4,1,10/27/2011 15:09,42,2,New,2.164
12432,4359.32,4,10/28/2011 11:43,42,2,New,43.5932
12433,20581.26,10,12/9/2011 10:02,0,0,Mid-Tire,205.8126
12434,1103.43,3,9/16/2011 12:38,84,2,New,11.0343
12435,13925.93,6,9/21/2011 9:06,79,0,Mid-Tire,139.2593
12436,429.01,1,9/1/2011 12:09,99,2,New,4.2901
12438,2466.85,2,11/25/2011 13:28,13,2,New,24.6685
12439,1158.18,2,1/26/2010 12:11,682,1,At Risk,11.5818
12440,739.2,2,9/3/2010 13:11,461,1,At Risk,7.392
12441,311.1,1,12/8/2010 10:45,366,1,At Risk,3.111
12442,144.06,1,12/6/2011 14:22,2,2,New,1.4406
12443,365.31,1,12/7/2009 15:42,731,1,At Risk,3.6531
12444,4085.46,5,11/18/2011 13:23,20,2,New,40.8546
12445,378.98,2,11/17/2011 18:43,21,2,New,3.7898
12446,1002.31,1,10/13/2011 12:50,57,2,New,10.0231
12447,431.49,1,4/10/2011 13:25,242,2,New,4.3149
12448,365.45,1,10/26/2011 13:46,43,2,New,3.6545
12449,4274.89,5,11/17/2011 13:46,21,2,New,42.7489
12450,688.2,5,7/6/2011 14:41,155,2,New,6.882
12451,12629.88,8,11/29/2011 8:40,10,0,Mid-Tire,126.2988
12452,348.57,1,11/23/2011 8:05,16,2,New,3.4857
12453,707.09,1,7/28/2011 14:08,133,2,New,7.0709
12454,16459.78,4,10/14/2011 17:13,55,0,Mid-Tire,164.5978
12455,5722.95,9,9/27/2011 15:31,72,0,Mid-Tire,57.2295
12456,2581.04,3,10/26/2011 14:41,43,2,New,25.8104
12457,2555.91,7,10/4/2011 13:13,65,0,Mid-Tire,25.5591
12458,1502.49,4,9/29/2011 15:25,70,2,New,15.0249
12459,398.36,1,4/13/2010 14:53,604,1,At Risk,3.9836
12460,296.65,1,9/9/2010 13:51,455,1,At Risk,2.9665
12461,626.88,1,7/8/2011 10:23,154,2,New,6.2688
12462,937.59,2,11/21/2011 9:11,18,2,New,9.3759
12463,1200.78,4,10/17/2011 13:44,52,2,New,12.0078
12464,957.05,8,11/29/2011 13:33,9,0,Mid-Tire,9.5705
12465,682.19,2,11/22/2011 16:34,16,2,New,6.8219
12467,132.8,1,10/12/2010 15:41,422,1,At Risk,1.328
12468,3238.74,5,6/5/2011 11:36,187,2,New,32.3874
12469,3070.54,2,7/5/2010 12:40,522,1,At Risk,30.7054
12470,211.95,1,1/19/2010 11:01,689,1,At Risk,2.1195
12473,2596.23,3,10/17/2011 11:27,53,2,New,25.9623
12475,1065.64,2,10/17/2011 10:10,53,2,New,10.6564
12477,20276.37,9,11/17/2011 9:51,22,0,Mid-Tire,202.7637
12478,545.99,1,12/6/2011 9:56,3,2,New,5.4599
12479,473.2,1,11/28/2011 13:26,10,2,New,4.732
12480,4834.85,7,11/11/2011 14:52,27,0,Mid-Tire,48.3485
12481,11191.39,14,11/17/2011 8:29,22,0,Mid-Tire,111.9139
12484,5573.15,9,11/4/2011 15:18,34,0,Mid-Tire,55.7315
12485,708.1,1,6/28/2010 15:22,528,1,At Risk,7.081
12486,917.28,1,10/4/2010 12:14,431,1,At Risk,9.1728
12487,285.3,1,12/9/2009 11:36,730,1,At Risk,2.853
12488,1244.66,3,11/30/2011 8:50,9,2,New,12.4466
12489,298.93,1,1/7/2011 13:13,335,1,At Risk,2.9893
12491,424.4,1,11/1/2011 12:18,38,2,New,4.244
12492,607.21,3,10/7/2011 15:15,62,2,New,6.0721
12493,379.74,2,6/27/2011 10:17,165,2,New,3.7974
12494,1602.87,9,11/24/2011 9:34,15,0,Mid-Tire,16.0287
12495,277.4,1,3/9/2010 10:53,640,1,At Risk,2.774
12496,54.09,2,3/29/2010 14:06,619,1,At Risk,0.5409
12497,5996.5,3,9/19/2011 12:29,81,2,New,59.965
12498,349.7,3,11/18/2011 12:53,20,2,New,3.497
12499,357.72,1,5/28/2010 15:12,559,1,At Risk,3.5772
12501,2025.39,1,1/7/2011 12:28,336,1,At Risk,20.2539
12502,2995.87,5,9/5/2011 11:52,95,2,New,29.9587
12503,896,1,5/4/2010 13:59,583,1,At Risk,8.96
12504,689.05,4,11/21/2011 16:02,17,2,New,6.8905
12505,787.2,1,10/27/2010 9:18,408,1,At Risk,7.872
12506,73.5,1,4/21/2011 8:54,232,2,New,0.735
12507,1508.06,4,7/28/2011 17:09,133,2,New,15.0806
12508,398.27,2,11/13/2011 15:37,25,2,New,3.9827
12509,158.5,1,2/28/2011 14:45,283,1,At Risk,1.585
12510,3039.03,7,7/20/2011 10:15,142,0,Mid-Tire,30.3903
12511,3084.02,1,10/7/2010 10:39,428,1,At Risk,30.8402
12512,138.03,2,10/4/2011 14:55,65,2,New,1.3803
12513,558.29,1,8/19/2011 10:51,112,2,New,5.5829
12514,1597.76,2,3/17/2011 16:38,266,2,New,15.9776
12515,278.7,1,12/21/2010 15:43,352,1,At Risk,2.787
12516,2288.62,4,9/23/2011 9:13,77,2,New,22.8862
12517,2322.84,4,11/11/2011 13:57,27,2,New,23.2284
12518,1840.89,5,12/9/2011 10:13,0,2,New,18.4089
12519,636.54,2,10/7/2011 9:26,63,2,New,6.3654
12520,2346.26,5,9/21/2011 15:23,78,2,New,23.4626
12521,545.68,1,7/20/2011 10:51,142,2,New,5.4568
12522,156.72,2,10/31/2011 15:30,38,2,New,1.5672
12525,883.73,3,7/29/2010 16:08,497,1,At Risk,8.8373
12526,1172.66,3,12/9/2011 12:09,0,2,New,11.7266
12527,717.51,5,9/19/2011 11:55,81,2,New,7.1751
12528,1645.48,6,11/30/2011 14:40,8,2,New,16.4548
12529,316.48,1,6/29/2010 13:10,527,1,At Risk,3.1648
12530,3381.26,9,10/11/2011 12:34,59,0,Mid-Tire,33.8126
12531,1771.2,2,11/25/2011 11:12,14,2,New,17.712
12532,313.83,1,11/9/2011 13:47,29,2,New,3.1383
12533,1223.89,2,3/22/2010 10:56,627,1,At Risk,12.2389
12534,981.18,1,8/1/2011 10:26,130,2,New,9.8118
12535,716.35,2,9/9/2011 8:48,91,2,New,7.1635
12536,4279.71,1,10/11/2011 14:52,58,2,New,42.7971
12537,612.94,1,10/27/2010 8:36,408,1,At Risk,6.1294
12538,640.45,2,11/10/2011 17:16,28,2,New,6.4045
12539,11186.75,7,11/17/2011 13:30,21,0,Mid-Tire,111.8675
12541,841.18,3,11/10/2011 10:40,29,2,New,8.4118
12542,481.88,2,8/12/2010 19:12,483,1,At Risk,4.8188
12543,840.25,1,9/17/2010 15:51,447,1,At Risk,8.4025
12544,316.7,1,11/3/2011 16:15,35,2,New,3.167
12545,832.39,2,9/25/2011 13:39,74,2,New,8.3239
12546,1021.5,2,10/24/2011 12:09,46,2,New,10.215
12547,299.58,3,5/26/2011 12:38,197,2,New,2.9958
12548,67.2,1,6/26/2011 15:35,165,2,New,0.672
12549,1570.68,5,5/13/2010 12:05,575,1,At Risk,15.7068
12550,824.83,1,9/21/2011 14:35,78,2,New,8.2483
12551,168,1,12/17/2010 11:23,357,1,At Risk,1.68
12552,317.82,1,10/31/2011 12:11,39,2,New,3.1782
12553,4104.75,12,12/1/2011 16:38,7,0,Mid-Tire,41.0475
12554,384.5,1,9/17/2010 12:29,448,1,At Risk,3.845
12556,603.71,2,10/20/2011 13:06,49,2,New,6.0371
12557,18716.14,8,11/23/2011 16:59,15,0,Mid-Tire,187.1614
12558,269.96,1,12/2/2011 10:41,7,2,New,2.6996
12559,525.71,2,2/2/2011 9:49,310,1,At Risk,5.2571
12560,1918.01,2,12/4/2011 13:54,4,2,New,19.1801
12561,238.85,1,2/10/2011 11:39,302,1,At Risk,2.3885
12562,4426.92,9,12/1/2011 17:20,7,0,Mid-Tire,44.2692
12563,221.24,1,10/27/2010 9:52,408,1,At Risk,2.2124
12564,402.9,1,3/23/2011 14:55,260,2,New,4.029
12565,145.92,1,2/24/2011 10:34,288,1,At Risk,1.4592
12566,297.65,1,9/14/2011 14:30,85,2,New,2.9765
12567,12467.86,15,11/17/2011 11:02,22,0,Mid-Tire,124.6786
12568,52,1,3/5/2010 9:15,644,1,At Risk,0.52
12571,519.61,2,10/31/2011 10:19,39,2,New,5.1961
12572,912.42,2,12/1/2011 9:20,8,2,New,9.1242
12573,717.41,5,4/26/2011 15:52,226,2,New,7.1741
12574,182.45,1,1/28/2011 9:20,315,1,At Risk,1.8245
12575,568.82,2,9/8/2010 13:09,456,1,At Risk,5.6882
12576,2062.72,8,11/4/2011 10:11,35,0,Mid-Tire,20.6272
12577,1649.8,8,11/4/2011 13:24,34,0,Mid-Tire,16.498
12578,4026.45,4,11/18/2011 13:30,20,2,New,40.2645
12579,386.42,1,9/22/2011 17:15,77,2,New,3.8642
12580,962.9,2,4/7/2011 10:24,246,2,New,9.629
12581,179.71,1,10/31/2011 8:56,39,2,New,1.7971
12582,1820.4,4,4/15/2011 8:45,238,2,New,18.204
12584,2254.15,9,12/6/2011 9:35,3,0,Mid-Tire,22.5415
12585,1824.1,2,4/19/2011 13:39,233,2,New,18.241
12586,2062.67,4,11/22/2011 16:24,16,2,New,20.6267
12587,104,1,12/2/2011 12:47,7,2,New,1.04
12588,718.78,3,10/31/2011 15:01,38,2,New,7.1878
12589,3294.91,6,11/11/2011 10:19,28,2,New,32.9491
12590,9341.26,1,5/12/2011 14:46,210,2,New,93.4126
12591,1128.15,3,1/26/2011 14:35,316,1,At Risk,11.2815
12592,1723.64,4,9/8/2011 15:04,91,2,New,17.2364
12593,382.1,3,8/23/2011 12:43,108,2,New,3.821
12594,4890.11,14,11/2/2011 12:20,37,0,Mid-Tire,48.9011
12595,281.02,1,7/23/2010 9:10,504,1,At Risk,2.8102
12596,450.27,2,10/19/2011 13:02,50,2,New,4.5027
12597,3195.22,4,11/20/2011 13:33,18,2,New,31.9522
12598,4192.09,10,11/30/2011 12:18,9,0,Mid-Tire,41.9209
12599,2026.72,13,11/10/2011 13:34,28,0,Mid-Tire,20.2672
12601,573.26,6,6/3/2011 10:17,189,2,New,5.7326
12602,153.12,1,10/12/2011 11:22,58,2,New,1.5312
12603,613.2,1,11/18/2011 10:42,21,2,New,6.132
12604,236.18,2,9/21/2011 14:08,78,2,New,2.3618
12605,1124.95,3,11/28/2010 14:18,375,1,At Risk,11.2495
12607,1579.51,1,10/10/2011 16:06,59,2,New,15.7951
12608,415.79,1,10/31/2010 10:49,404,1,At Risk,4.1579
12609,3021.86,9,9/22/2011 16:34,77,0,Mid-Tire,30.2186
12610,1747.54,4,11/17/2011 9:34,22,2,New,17.4754
12611,1193.32,1,10/18/2011 13:12,51,2,New,11.9332
12612,668.04,1,9/26/2011 15:35,73,2,New,6.6804
12613,6295.07,9,10/13/2011 14:59,56,0,Mid-Tire,62.9507
12614,315.6,1,3/7/2011 10:22,277,1,At Risk,3.156
12615,5362.98,8,12/7/2011 15:02,1,0,Mid-Tire,53.6298
12616,1023.1,3,9/5/2011 15:17,94,2,New,10.231
12617,355.53,1,11/10/2011 14:39,28,2,New,3.5553
12618,137.31,1,11/18/2011 11:10,21,2,New,1.3731
12619,3085.7,9,11/23/2011 14:52,15,0,Mid-Tire,30.857
12620,1303.41,3,11/25/2011 10:20,14,2,New,13.0341
12622,162.1,1,4/21/2011 16:39,231,2,New,1.621
12623,3315.84,7,3/8/2011 13:50,275,0,Mid-Tire,33.1584
12624,569.13,2,8/25/2011 15:04,105,2,New,5.6913
12625,4678.88,4,5/12/2011 9:54,211,2,New,46.7888
12626,5954.48,9,11/16/2011 16:06,22,0,Mid-Tire,59.5448
12627,4082.53,6,11/29/2011 12:07,10,2,New,40.8253
12628,732.46,3,12/5/2011 13:15,3,2,New,7.3246
12629,1198.22,2,11/19/2010 9:18,385,1,At Risk,11.9822
12630,1030.88,2,11/30/2011 10:48,9,2,New,10.3088
12631,3321.57,6,10/13/2011 13:53,56,2,New,33.2157
12632,714.88,2,7/7/2010 9:39,520,1,At Risk,7.1488
12633,5156.16,7,10/12/2011 11:40,58,0,Mid-Tire,51.5616
12634,360,1,6/9/2010 15:41,547,1,At Risk,3.6
12635,2624.41,4,9/11/2011 11:04,89,2,New,26.2441
12637,8142.31,12,10/3/2011 13:46,66,0,Mid-Tire,81.4231
12638,681.49,2,11/6/2011 13:11,32,2,New,6.8149
12639,1072.37,3,4/15/2011 12:48,238,2,New,10.7237
12640,994.58,3,11/16/2011 11:52,23,2,New,9.9458
12641,145.9,1,8/16/2011 13:26,114,2,New,1.459
12642,905.26,3,11/14/2011 15:03,24,2,New,9.0526
12643,7849.42,11,8/3/2011 12:56,127,0,Mid-Tire,78.4942
12644,1900.49,4,8/2/2011 10:33,129,2,New,19.0049
12645,3215.3,8,11/6/2011 12:38,33,0,Mid-Tire,32.153
12646,1346.97,2,12/5/2011 10:14,4,2,New,13.4697
12648,1039,4,7/8/2011 11:55,154,2,New,10.39
12649,2096.65,8,8/24/2011 14:41,106,0,Mid-Tire,20.9665
12650,242.44,1,12/6/2011 16:34,2,2,New,2.4244
12651,377.75,4,1/9/2011 12:46,334,1,At Risk,3.7775
12652,891.03,2,1/12/2011 15:00,330,1,At Risk,8.9103
12653,4160.83,3,7/14/2011 10:41,148,2,New,41.6083
12654,529.98,5,11/29/2011 10:10,10,2,New,5.2998
12655,243.35,1,10/12/2010 9:17,423,1,At Risk,2.4335
12656,5723.83,8,11/22/2011 13:42,16,0,Mid-Tire,57.2383
12657,1427.18,4,11/28/2011 15:47,10,2,New,14.2718
12658,632.05,1,11/21/2011 10:22,18,2,New,6.3205
12659,73.68,1,11/10/2011 11:53,29,2,New,0.7368
12660,227.1,1,11/28/2011 13:26,10,2,New,2.271
12661,162,1,9/29/2010 16:46,435,1,At Risk,1.62
12663,185.4,2,3/25/2010 9:40,624,1,At Risk,1.854
12664,5420.04,11,12/1/2011 17:07,7,0,Mid-Tire,54.2004
12665,259.6,3,1/19/2011 8:34,324,1,At Risk,2.596
12666,1248.42,1,11/10/2010 16:40,393,1,At Risk,12.4842
12667,460.13,1,10/12/2011 17:00,57,2,New,4.6013
12668,9967.68,9,11/28/2011 10:56,11,0,Mid-Tire,99.6768
12669,1427.73,2,7/12/2011 9:54,150,2,New,14.2773
12670,3436.29,7,11/29/2011 15:23,9,0,Mid-Tire,34.3629
12671,2622.481,1,4/12/2010 16:30,605,1,At Risk,26.22481
12672,407.05,2,1/14/2011 9:20,329,1,At Risk,4.0705
12673,1140.02,3,12/4/2011 13:55,4,2,New,11.4002
12674,1844.6,4,11/1/2011 12:12,38,2,New,18.446
12675,874.5,2,6/4/2010 9:49,553,1,At Risk,8.745
12676,2333.09,10,11/15/2011 12:25,24,0,Mid-Tire,23.3309
12677,359.1,2,6/2/2010 14:30,554,1,At Risk,3.591
12678,32595.18,15,10/28/2011 13:04,41,0,Mid-Tire,325.9518
12679,951.02,4,10/12/2011 12:30,58,2,New,9.5102
12680,790.81,4,12/9/2011 12:50,0,2,New,7.9081
12684,2073.63,6,12/2/2011 9:53,7,2,New,20.7363
12685,2575.08,6,11/11/2011 13:46,27,2,New,25.7508
12686,142.28,1,12/3/2010 9:51,371,1,At Risk,1.4228
12687,1858.91,1,8/16/2010 12:12,480,1,At Risk,18.5891
12688,4873.81,1,8/18/2011 8:49,113,2,New,48.7381
12689,1139.61,2,11/14/2011 8:31,25,2,New,11.3961
12690,335.01,1,5/18/2011 9:09,205,2,New,3.3501
12691,1044.4,6,11/11/2011 16:49,27,2,New,10.444
12692,110.95,1,3/12/2010 14:02,636,1,At Risk,1.1095
12693,1415.02,7,8/4/2011 17:51,126,2,New,14.1502
12694,1663.35,3,9/30/2011 13:06,69,2,New,16.6335
12695,1371.12,7,12/2/2011 13:22,6,2,New,13.7112
12696,731.91,2,10/1/2010 10:43,434,1,At Risk,7.3191
12697,757.59,3,11/11/2011 8:47,28,2,New,7.5759
12698,285.75,1,4/28/2010 15:51,589,1,At Risk,2.8575
12699,566.11,1,10/18/2010 12:07,417,1,At Risk,5.6611
12700,4525.99,4,12/2/2011 10:47,7,2,New,45.2599
12701,2248.41,6,9/21/2011 10:47,79,2,New,22.4841
12702,201,1,11/20/2011 10:36,19,2,New,2.01
12703,898.53,4,9/29/2011 17:52,70,2,New,8.9853
12704,1740.84,8,12/2/2011 13:15,6,0,Mid-Tire,17.4084
12705,11114.1,13,11/24/2011 13:17,14,0,Mid-Tire,111.141
12707,603.42,1,2/21/2011 8:38,291,1,At Risk,6.0342
12710,1023.02,3,9/4/2011 12:00,96,2,New,10.2302
12711,1213.05,2,4/7/2010 11:59,611,1,At Risk,12.1305
12713,794.55,1,12/9/2011 12:16,0,2,New,7.9455
12714,12815.71,12,11/30/2011 15:43,8,0,Mid-Tire,128.1571
12715,273.86,1,8/25/2011 15:22,105,2,New,2.7386
12716,963.49,2,12/6/2011 8:55,3,2,New,9.6349
12717,1058.91,3,7/11/2011 14:47,150,2,New,10.5891
12718,202.25,1,9/29/2011 16:38,70,2,New,2.0225
12719,572.95,2,12/4/2011 13:45,4,2,New,5.7295
12721,3635.08,8,11/8/2011 12:13,31,0,Mid-Tire,36.3508
12722,979.63,4,9/15/2011 14:50,84,2,New,9.7963
12723,707.07,5,12/6/2011 10:19,3,2,New,7.0707
12724,2083.52,7,12/4/2011 16:02,4,2,New,20.8352
12725,2278.56,3,12/3/2010 15:45,370,1,At Risk,22.7856
12726,3690.6,11,11/11/2011 13:35,27,0,Mid-Tire,36.906
12727,4905.53,10,11/29/2011 11:46,10,0,Mid-Tire,49.0553
12728,926.17,5,9/29/2011 15:31,70,2,New,9.2617
12729,417.01,1,8/18/2011 11:40,113,2,New,4.1701
12730,703.25,1,7/6/2010 12:19,521,1,At Risk,7.0325
12732,218.26,1,6/13/2011 11:33,179,2,New,2.1826
12733,2424.02,4,4/19/2011 16:19,233,2,New,24.2402
12734,603.65,3,12/22/2010 12:47,352,1,At Risk,6.0365
12735,689.57,2,1/28/2011 13:37,314,1,At Risk,6.8957
12736,144,1,1/11/2011 7:57,332,1,At Risk,1.44
12738,274.7,1,12/2/2010 18:27,371,1,At Risk,2.747
12739,2421.23,2,9/1/2011 17:45,98,2,New,24.2123
12740,427.6,1,10/7/2011 10:44,63,2,New,4.276
12741,236.07,1,6/24/2010 16:24,532,1,At Risk,2.3607
12742,1201.52,1,3/24/2010 12:43,625,1,At Risk,12.0152
12743,546.43,2,7/28/2011 16:21,133,2,New,5.4643
12744,13158.16,8,10/14/2011 14:54,55,0,Mid-Tire,131.5816
12745,723.85,2,8/10/2010 10:14,486,1,At Risk,7.2385
12746,254.55,1,6/17/2010 10:41,540,1,At Risk,2.5455
12749,6847.36,9,12/6/2011 9:56,3,0,Mid-Tire,68.4736
12750,275.88,1,8/3/2011 9:13,128,2,New,2.7588
12751,268.27,1,9/21/2010 12:49,444,1,At Risk,2.6827
12752,4366.78,1,9/19/2011 13:32,80,2,New,43.6678
12753,21429.39,6,11/17/2011 10:52,22,0,Mid-Tire,214.2939
12754,3010.74,3,4/18/2011 9:00,235,2,New,30.1074
12755,9030.66,11,3/4/2011 12:42,280,0,Mid-Tire,90.3066
12756,112.08,1,9/14/2011 9:31,86,2,New,1.1208
12757,4199.2,9,11/24/2011 12:30,15,0,Mid-Tire,41.992
12758,9903.24,7,8/15/2011 10:22,116,0,Mid-Tire,99.0324
12759,4618.74,8,10/18/2011 14:49,51,0,Mid-Tire,46.1874
12760,317.8,1,9/10/2010 8:50,455,1,At Risk,3.178
12761,712.95,1,9/1/2010 10:47,464,1,At Risk,7.1295
12762,1702.52,2,12/2/2011 10:23,7,2,New,17.0252
12763,814.16,2,7/24/2011 14:12,137,2,New,8.1416
12764,1693.88,1,1/27/2011 10:19,316,1,At Risk,16.9388
12765,1299.58,6,8/24/2010 13:51,471,1,At Risk,12.9958
12766,9116.28,9,12/6/2011 8:46,3,0,Mid-Tire,91.1628
12767,949.82,1,11/29/2010 9:38,375,1,At Risk,9.4982
12768,168.69,1,9/15/2010 12:08,450,1,At Risk,1.6869
12769,1143.6,1,4/15/2011 10:25,238,2,New,11.436
12770,3246.45,2,5/13/2011 9:33,210,2,New,32.4645
12771,226.3,1,8/11/2010 11:51,485,1,At Risk,2.263
12772,752.47,1,10/11/2011 9:19,59,2,New,7.5247
12773,124.25,1,5/24/2010 17:30,563,1,At Risk,1.2425
12774,83.7,1,6/22/2010 10:38,535,1,At Risk,0.837
12775,1551.12,7,11/22/2011 16:33,16,2,New,15.5112
12776,27.5,1,2/10/2010 12:11,667,1,At Risk,0.275
12777,519.45,1,9/8/2010 11:35,457,1,At Risk,5.1945
12778,1541.68,9,11/20/2011 11:30,19,0,Mid-Tire,15.4168
12779,6722.27,14,11/2/2011 11:43,37,0,Mid-Tire,67.2227
12780,322.4,1,4/20/2010 9:40,598,1,At Risk,3.224
12781,786.74,2,10/7/2011 10:37,63,2,New,7.8674
12782,3862.24,11,12/5/2011 9:16,4,0,Mid-Tire,38.6224
12783,1295.87,4,12/7/2011 15:56,1,2,New,12.9587
12784,1552.75,2,11/24/2011 12:53,14,2,New,15.5275
12785,904.4,3,12/10/2010 13:48,363,1,At Risk,9.044
12786,668.5,1,4/9/2010 12:12,609,1,At Risk,6.685
12787,799.18,4,11/30/2011 8:44,9,2,New,7.9918
12788,384.9,4,9/2/2010 14:21,462,1,At Risk,3.849
12789,225.35,3,10/5/2011 13:34,64,2,New,2.2535
12790,546.85,2,5/31/2011 14:14,191,2,New,5.4685
12791,834.43,5,12/1/2010 11:27,373,1,At Risk,8.3443
12792,715.01,2,3/28/2011 11:36,256,2,New,7.1501
12793,849.33,3,1/9/2011 12:12,334,1,At Risk,8.4933
12794,860.41,2,10/17/2011 14:54,52,2,New,8.6041
12795,318.48,1,11/21/2011 10:27,18,2,New,3.1848
12796,351,1,3/21/2010 15:49,627,1,At Risk,3.51
12797,694.11,2,12/9/2010 10:55,365,1,At Risk,6.9411
12798,8510.93,4,11/29/2011 15:52,9,0,Mid-Tire,85.1093
12799,219.35,1,6/28/2010 15:57,528,1,At Risk,2.1935
12800,500.25,2,8/26/2010 14:11,469,1,At Risk,5.0025
12801,871.82,1,7/27/2010 9:38,500,1,At Risk,8.7182
12802,2186.42,5,6/6/2011 9:36,186,2,New,21.8642
12803,1017.81,1,11/11/2010 14:57,392,1,At Risk,10.1781
